# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
2006cz             Foley11  11540.00     200.000
2006ef             Foley11  12150.00     300.000
2006ej             Foley11  12460.00     300.000
2006em             Foley11   9450.00     200.000
2006en             Foley11  10380.00     300.000
2006et             Foley11   9510.00     260.000
2006eu             Foley11  11380.00     200.000
2006gj             Foley11  11340.00     250.000
2006gr             Foley11  11850.00     320.000
2006hb             Foley11  11150.00     220.000
2006je             Foley11  10130.00     200.000
2006kf             Foley11  11440.00     200.000
2006le             Foley11  11750.00     200.000
2006lf             Foley11  11320.00     230.000
2006mo             Foley11  10990.00     200.000
2006nz             Foley11  14120.00     200.000
2006oa             Foley11   9270.00     200.000
2006os             Foley11  12680.00     300.000
2006sr             Foley11  12390.00     230.000
2006td             Foley11  10810.00     300.000
2007f              Foley11  11080.00     200.000
2007o              Foley11   9960.00     300.000
2007s              Foley11  10030.00     200.000
2007ae             Foley11  10850.00     200.000
2007af             Foley11  10990.00     220.000
2007al             Foley11   9470.00     200.000
2007ap             Foley11  11160.00     220.000
2007au             Foley11  10970.00     200.000
2007ax             Foley11   9850.00     200.000
2007bc             Foley11  10490.00     260.000
2007bd             Foley11  12490.00     230.000
2007bm             Foley11  10600.00     220.000
2007ca             Foley11  11020.00     200.000
2007cg             Foley11  13890.00     240.000
2007ci             Foley11  11830.00     200.000
2007co             Foley11  12020.00     230.000
2007cq             Foley11  10520.00     230.000
2007fb             Foley11  11760.00     200.000
2007fs             Foley11  10610.00     300.000
2007hj             Foley11  12180.00     200.000
2007kk             Foley11  12070.00     200.000
2007le             Foley11  13310.00     230.000
2007sr             Foley11  12890.00     300.000
2007qe             Foley11  14380.00     230.000
2007ux             Foley11  10980.00     200.000
2008c              Foley11  11250.00     200.000
2008l              Foley11  12220.00     230.000
2008q              Foley11  11540.00     220.000
2008z              Foley11  11360.00     200.000
2008af             Foley11  12440.00     230.000
2008ar             Foley11  10590.00     220.000
2008bf             Foley11  11590.00     240.000
2008dt             Foley11  14300.00     300.000
1998dh             Zheng18  11100.00     500.000
1998dm             Zheng18  10600.00     300.000
1999cp             Zheng18  10600.00     300.000
1999dq             Zheng18  10900.00     100.000
1999gp             Zheng18  11000.00     200.000
2000cx             Zheng18  11700.00     200.000
2000dn             Zheng18  10200.00     200.000
2000dr             Zheng18  10500.00     300.000
2000fa             Zheng18  12000.00     200.000
2001en             Zheng18  12500.00     400.000
2001ep             Zheng18  10300.00     300.000
2002bo             Zheng18  13000.00     300.000
2002cr             Zheng18  10700.00     300.000
2002dj             Zheng18  14500.00     300.000
2002dl             Zheng18  10600.00     400.000
2002eb             Zheng18  10300.00     400.000
2002er             Zheng18  11800.00     400.000
2002fk             Zheng18   9800.00     300.000
2002ha             Zheng18  10800.00     100.000
2002he             Zheng18  12400.00     100.000
2003cg             Zheng18  10900.00     200.000
2003fa             Zheng18  11200.00     400.000
2003gn             Zheng18  12000.00     300.000
2003gt             Zheng18  11100.00     400.000
2003w              Zheng18  14800.00     400.000
2003y              Zheng18   9800.00     300.000
2004at             Zheng18  11300.00     100.000
2004dt             Zheng18  13300.00     300.000
2004ef             Zheng18  12800.00     400.000
2004eo             Zheng18  10800.00     400.000
2005cf             Zheng18  10100.00     100.000
2005de             Zheng18  10200.00     200.000
2005ki             Zheng18  11100.00     200.000
2005m              Zheng18  10600.00     200.000
2006cp             Zheng18  13600.00     300.000
2006gr             Zheng18  11400.00     300.000
2006le             Zheng18  11600.00     300.000
2006x              Zheng18  14700.00     100.000
2007af             Zheng18  10600.00     100.000
2007le             Zheng18  14000.00     400.000
2007qe             Zheng18  14100.00     300.000
2008bf             Zheng18  11500.00     200.000
2008ec             Zheng18  10500.00     100.000
2001v              Zheng18  11600.00     300.000
2006ax             Zheng18  10500.00     100.000
2006lf             Zheng18  11400.00     400.000
2007bd             Zheng18  12800.00     400.000
2007ci             Zheng18  11800.00     200.000
2005kc             Zheng18  10600.00     300.000
2007on             Zheng18  11300.00     300.000
2008bc             Zheng18  11600.00     200.000
2008gp             Zheng18  11300.00     400.000
2008hv             Zheng18  10900.00     200.000
2006td             kaepora  10812.60     300.000
1996z              kaepora  12142.10     233.568
1996x              kaepora  11173.10     222.453
1996c              kaepora  10689.10     222.453
2005m              kaepora   8093.94     231.052
2001cn             kaepora  11040.70     300.000
2001ck             kaepora  11267.30     260.788
2001cj             kaepora  10366.90     300.000
2007sw             kaepora  13887.50     296.641
2007su             kaepora  11853.30     222.721
2007sr             kaepora  12893.00     300.000
2001cz             kaepora  10192.30     300.000
2001cp             kaepora  10879.60     231.400
2003kc             kaepora  12743.70     226.586
2002kf             kaepora  11914.80     222.453
2007ae             kaepora  10847.50     241.732
2007af             kaepora  10990.10     222.453
2007al             kaepora   9466.57     228.723
2007ai             kaepora   9552.35     235.409
2007au             kaepora  10971.80     289.567
2007ap             kaepora  11156.50     222.453
2007as             kaepora  12665.40     282.557
2007ax             kaepora   9846.48     243.529
2006et             kaepora   9508.19     263.600
2006eu             kaepora  11382.30     257.500
2006ev             kaepora  11444.60     326.281
2006ef             kaepora  12153.90     300.000
2006em             kaepora   9449.48     223.386
2006en             kaepora  10380.90     300.000
2006ej             kaepora  11889.50     281.461
1998co             kaepora  11098.60     222.453
2004s              kaepora   9278.18     222.453
2004gu             kaepora  10755.50     310.063
2004gs             kaepora  11251.60     263.600
1999cp             kaepora  11146.00     221.129
1999cl             kaepora  12472.60     254.836
1999cc             kaepora  12029.70     243.986
2003hv             kaepora  10791.80     222.453
2003hu             kaepora   9617.89     249.722
1997y              kaepora  11033.00     222.453
1997e              kaepora  12010.00     231.400
1996ai             kaepora  10816.10     223.630
2007le             kaepora  13305.10     226.586
2002jg             kaepora  11545.20     323.396
2002jy             kaepora  10947.00     247.760
asas-14lp          kaepora  11100.00         NaN
2004fu             kaepora  12687.10     249.227
1999by             kaepora  10100.30     222.453
1996bk             kaepora  12159.00     222.911
1996bo             kaepora  12254.80     237.068
1996bl             kaepora  12337.40     241.732
2007o              kaepora   9956.28     300.000
2007a              kaepora  10885.30     272.346
2007s              kaepora  10034.10     222.453
2007jg             kaepora  13390.10     295.838
2007qe             kaepora  14381.20     232.468
2003it             kaepora  11718.70     222.453
2003iv             kaepora  10890.10     222.453
2003ic             kaepora  11953.60     228.723
1994d              kaepora  11237.30     244.910
1994m              kaepora  12356.90     265.319
1994t              kaepora  13432.50     296.975
1994s              kaepora  10715.30     239.136
2002ef             kaepora  11525.80     233.198
2002er             kaepora  11911.00     222.453
2002eu             kaepora  11522.00     236.665
2006gj             kaepora  11338.40     248.246
2006gr             kaepora  11847.70     321.915
2008ia             kaepora  11602.50     230.958
1998ab             kaepora   9330.43     222.453
1998aq             kaepora  10801.00     229.044
2005am             kaepora  12218.50     223.878
2006s              kaepora  10863.40     240.419
2006x              kaepora  15969.30     222.453
2006d              kaepora  10903.00     223.630
